"a","b"
"1.2","3091"
"0.98","3091"
"0.52","3097"
"1.29","3098"
"0.66","3103"
"0.78","3103"
"1.52","3105"
"0.68","3112"
"1.08","3118"
"1.16","3118"
"0.57","3126"
"0.73","3126"
"1.13","3127"
"0.7","3127"
"0.77","3129"
"0.97","3129"
"0.74","3130"
"0.83","3131"
"0.94","3134"
"0.81","3135"
"1.01","3136"
"0.9","3139"
"0.54","3139"
"1.02","3141"
"0.68","3143"
"1.21","3144"
"0.85","3145"
"0.78","3145"
"0.93","3146"
"1.06","3146"
"1.03","3149"
"0.88","3150"
"0.58","3154"
"1.22","3156"
"0.64","3157"
"1.08","3168"
"1.23","3168"
"1.09","3170"
"0.73","3175"
"0.7","3175"
"0.9","3175"
"1.01","3175"
"1.5","3175"
"0.77","3176"
"0.74","3177"
"0.68","3178"
"0.81","3179"
"0.93","3180"
"0.89","3180"
"0.96","3181"
"0.64","3181"
"1.11","3183"
"0.85","3183"
"0.78","3184"
"1.04","3188"
"0.54","3194"
"0.83","3195"
"0.61","3196"
"0.52","3197"
"1.02","3199"
"0.58","3206"
"1.1","3216"
"1.18","3219"
"1.15","3220"
"0.9","3226"
"0.74","3226"
"0.73","3226"
"0.81","3226"
"0.52","3226"
"0.86","3228"
"0.65","3228"
"0.7","3229"
"0.96","3229"
"0.93","3229"
"1.04","3230"
"0.77","3231"
"0.83","3231"
"0.61","3234"
"1","3234"
"1.05","3234"
"0.85","3237"
"0.89","3238"
"0.68","3243"
"0.78","3253"
"1.12","3263"
"0.56","3270"
"1.1","3271"
"0.7","3275"
"0.96","3275"
"0.73","3275"
"1.01","3275"
"0.9","3276"
"0.83","3276"
"0.78","3276"
"1.25","3276"
"0.93","3277"
"1.18","3278"
"0.84","3279"
"0.81","3283"
"0.52","3284"
"0.86","3284"
"0.89","3284"
"0.74","3285"
"0.94","3285"
"1.04","3285"
"1.02","3290"
"0.77","3291"
"1.06","3293"
"1.08","3296"
"0.62","3299"
"0.53","3307"
"0.66","3309"
"0.57","3313"
"0.69","3323"
"0.97","3326"
"0.9","3326"
"0.78","3326"
"0.73","3326"
"0.81","3328"
"0.74","3328"
"0.83","3328"
"0.89","3328"
"1.28","3328"
"0.7","3330"
"0.77","3332"
"0.93","3332"
"0.98","3332"
"0.61","3333"
"0.94","3335"
"0.64","3336"
"1.01","3337"
"1.02","3342"
"0.57","3343"
"0.53","3346"
"1.05","3352"
"1.07","3354"
"0.52","3360"
"1.13","3366"
"0.69","3369"
"0.84","3370"
"0.86","3372"
"0.7","3375"
"0.73","3375"
"0.9","3375"
"1.23","3375"
"0.93","3376"
"1.01","3377"
"0.81","3377"
"0.5","3378"
"1.04","3378"
"0.62","3378"
"0.96","3378"
"0.83","3380"
"0.61","3382"
"1.02","3382"
"0.77","3384"
"0.78","3385"
"1.1","3388"
"0.74","3388"
"0.88","3390"
"1.06","3391"
"0.85","3392"
"0.94","3394"
"1.14","3403"
"1.07","3412"
"1.21","3415"
"0.86","3418"
"1.01","3427"
"0.73","3427"
"1.02","3427"
"0.9","3427"
"0.82","3428"
"0.77","3428"
"1.06","3428"
"0.7","3429"
"0.78","3429"
"0.81","3429"
"0.89","3429"
"0.74","3434"
"0.93","3435"
"0.85","3441"
"0.53","3442"
"0.86","3442"
"1.09","3443"
"1.22","3443"
"1.04","3444"
"0.51","3446"
"0.96","3454"
"0.94","3456"
"1.5","3457"
"0.56","3465"
"1.25","3465"
"1.11","3469"
"0.93","3475"
"0.73","3475"
"0.85","3475"
"0.74","3476"
"0.7","3477"
"0.81","3477"
"1.01","3477"
"0.86","3478"
"0.9","3478"
"0.96","3480"
"1.13","3480"
"0.83","3482"
"1.02","3483"
"0.98","3485"
"0.77","3486"
"0.89","3489"
"0.54","3494"
"0.78","3494"
"0.56","3496"
"1.52","3497"
"0.62","3499"
"1.2","3505"
"1.04","3507"
"1.15","3510"
"1.06","3515"
"0.94","3518"
"0.9","3526"
"0.73","3527"
"0.97","3527"
"1.01","3528"
"0.83","3528"
"1.24","3528"
"0.85","3528"
"1.06","3528"
"0.93","3529"
"0.7","3529"
"1.04","3530"
"0.78","3531"
"0.77","3533"
"1.02","3534"
"0.65","3536"
"0.74","3537"
"1.08","3537"
"0.81","3538"
"1.52","3541"
"1.13","3542"
"0.86","3544"
"1.1","3549"
"0.88","3557"
"0.6","3570"
"1.2","3570"
"1.16","3573"
"1.15","3574"
"1.01","3575"
"0.93","3576"
"0.73","3576"
"0.76","3577"
"0.83","3577"
"0.9","3577"
"0.84","3577"
"0.81","3578"
"0.78","3578"
"1.06","3579"
"1.04","3581"
"1.02","3581"
"0.98","3583"
"0.7","3585"
"0.97","3585"
"1.13","3589"
"0.74","3590"
"1.08","3590"
"1.5","3599"
"1.1","3601"
"1.16","3605"
"1.15","3606"
"0.88","3619"
"0.94","3624"
"0.61","3625"
"0.73","3626"
"1.01","3626"
"0.9","3627"
"0.81","3628"
"1.08","3629"
"0.93","3632"
"0.74","3633"
"1.02","3633"
"1.06","3633"
"0.94","3634"
"1.04","3634"
"1.13","3638"
"1.14","3639"
"0.77","3640"
"0.82","3641"
"0.85","3641"
"1.17","3644"
"0.7","3644"
"0.96","3652"
"1.09","3662"
"1.22","3663"
"0.89","3663"
"1.19","3665"
"1.27","3665"
"0.78","3668"
"0.93","3675"
"1.04","3675"
"0.81","3675"
"0.63","3675"
"1.01","3676"
"0.9","3677"
"1.13","3678"
"1.1","3678"
"0.77","3679"
"0.7","3683"
"0.85","3685"
"1.02","3686"
"1.21","3686"
"0.97","3688"
"0.73","3689"
"0.94","3691"
"1.25","3692"
"0.74","3694"
"1.5","3696"
"0.82","3697"
"1.31","3697"
"1.08","3701"
"0.86","3709"
"1.16","3711"
"0.78","3713"
"1.21","3726"
"0.93","3726"
"1.1","3726"
"0.9","3726"
"1.08","3726"
"1.13","3729"
"1.04","3729"
"0.97","3729"
"0.98","3731"
"1.01","3732"
"0.58","3732"
"0.77","3732"
"0.81","3732"
"1.29","3732"
"1.15","3733"
"1.52","3734"
"0.73","3735"
"0.78","3736"
"0.7","3737"
"1.06","3740"
"0.87","3742"
"1.02","3745"
"0.74","3746"
"0.63","3749"
"1.25","3751"
"0.86","3756"
"0.94","3758"
"0.61","3758"
"1.22","3763"
"0.85","3766"
"0.83","3774"
"0.83","3775"
"0.9","3775"
"1.08","3775"
"0.93","3776"
"1.06","3777"
"0.73","3777"
"1.01","3777"
"1.04","3780"
"1.5","3780"
"1.21","3782"
"0.69","3784"
"1.02","3786"
"0.77","3786"
"1.16","3787"
"0.85","3787"
"0.7","3788"
"1.24","3788"
"0.61","3791"
"1.14","3792"
"0.8","3793"
"1.13","3794"
"0.78","3800"
"0.97","3802"
"0.74","3804"
"0.53","3812"
"1.18","3816"
"1.52","3820"
"0.94","3825"
"0.93","3826"
"1.01","3827"
"0.81","3827"
"0.53","3827"
"0.77","3827"
"1.06","3828"
"0.86","3828"
"1.14","3830"
"0.9","3830"
"0.7","3830"
"1.21","3830"
"0.96","3830"
"0.74","3831"
"0.73","3831"
"1.04","3832"
"0.63","3832"
"1.17","3833"
"1.23","3835"
"0.83","3837"
"1.02","3838"
"1.12","3838"
"1.08","3847"
"0.6","3850"
"0.94","3862"
"0.78","3864"
"1.5","3864"
"0.85","3871"
"1.1","3872"
"0.89","3872"
"0.98","3873"
"1.02","3875"
"0.9","3875"
"0.97","3876"
"0.93","3876"
"1.04","3876"
"1.01","3877"
"0.73","3877"
"0.77","3879"
"0.74","3879"
"1.2","3880"
"1.13","3880"
"0.82","3880"
"1.26","3881"
"1.06","3881"
"1.1","3882"
"1.29","3884"
"0.81","3884"
"0.94","3886"
"1.18","3886"
"0.7","3887"
"0.25","575"
"0.29","575"
"0.98","3895"
"1.24","3896"
"0.78","3898"
"1.39","3914"
"0.66","3915"
"0.51","3920"
"0.88","3921"
"0.85","3924"
"1.01","3926"
"1.02","3927"
"0.77","3927"
"1.04","3929"
"0.81","3930"
"0.9","3931"
"1.08","3931"
"1.21","3931"
"0.93","3932"
"1.06","3932"
"0.83","3933"
"0.84","3936"
"0.73","3936"
"0.94","3938"
"1.13","3942"
"1.28","3942"
"1.1","3942"
"0.97","3945"
"0.74","3948"
"0.7","3949"
"1.14","3950"
"1.16","3955"
"0.88","3962"
"1.18","3965"
"0.33","575"
"0.3","575"
"0.37","575"
"0.62","3968"
"1.01","3975"
"0.9","3975"
"0.81","3975"
"1.06","3975"
"0.97","3975"
"0.93","3975"
"1.25","3977"
"1.13","3978"
"0.83","3979"
"1.02","3980"
"0.77","3980"
"0.73","3980"
"1.08","3980"
"1.21","3984"
"1.04","3984"
"1.17","3984"
"1.39","3985"
"0.7","3990"
"0.74","3993"
"0.85","3997"
"0.89","4003"
"1.1","4004"
"1.27","4011"
"1.15","4021"
"0.65","4022"
"1.5","4022"
"0.56","4025"
"0.93","4026"
"0.97","4026"
"1.01","4026"
"0.72","4027"
"0.94","4027"
"1.17","4028"
"1.13","4028"
"0.83","4030"
"1.06","4031"
"0.57","4032"
"0.9","4032"
"1.2","4032"
"1.5","4032"
"1.04","4035"
"0.77","4037"
"1.02","4037"
"0.74","4040"
"0.54","4042"
"0.8","4043"
"1.29","4045"
"1.1","4046"
"1.14","4050"
"1.25","4050"
"0.89","4054"
"1.22","4058"
"1.44","4064"
"0.84","4068"
"1.18","4071"
"1.01","4075"
"1.08","4075"
"1.13","4075"
"0.93","4077"
"0.9","4077"
"1.04","4077"
"1.1","4078"
"0.97","4078"
"1.06","4078"
"1.02","4078"
"1.2","4078"
"0.74","4082"
"0.73","4082"
"1.35","4082"
"0.64","4084"
"1.28","4086"
"0.81","4086"
"0.85","4089"
"1.17","4092"
"0.7","4095"
"1.5","4096"
"0.94","4098"
"1.23","4098"
"1.22","4099"
"0.35","409"
"0.36","410"
"0.26","578"
"0.41","579"
"1.3","4106"
"0.87","4108"
"0.82","4113"
"0.98","4116"
"1.14","4124"
"0.81","4126"
"0.9","4126"
"1.06","4126"
"1.08","4126"
"0.74","4127"
"0.89","4127"
"1.01","4127"
"0.93","4128"
"0.83","4130"
"1.17","4131"
"1.1","4131"
"1.21","4131"
"1.22","4132"
"1.23","4133"
"1.12","4134"
"0.73","4134"
"1.04","4135"
"0.97","4136"
"1.02","4137"
"1.32","4140"
"1.5","4140"
"1.41","4145"
"1.14","4150"
"0.76","4150"
"1.18","4153"
"1.36","4158"
"0.94","4159"
"0.6","4161"
"0.85","4164"
"1.51","4167"
"0.7","4171"
"1.04","4175"
"1.13","4176"
"1.01","4176"
"1.21","4177"
"0.9","4178"
"0.93","4179"
"1.02","4179"
"1.28","4179"
"0.81","4180"
"1.22","4181"
"0.83","4181"
"0.85","4181"
"0.73","4182"
"0.94","4182"
"0.97","4182"
"0.78","4183"
"0.65","4184"
"1.15","4186"
"0.89","4188"
"0.86","4191"
"1.1","4192"
"1.07","4194"
"1.06","4196"
"1.18","4197"
"0.7","4198"
"1.25","4199"
"0.6","4208"
"0.56","4216"
"1.16","4222"
"0.76","4223"
"1.1","4226"
"0.98","4226"
"1.02","4227"
"1.13","4227"
"1.01","4227"
"0.73","4228"
"0.93","4228"
"0.86","4228"
"0.76","4229"
"0.9","4229"
"0.81","4229"
"1.18","4229"
"0.94","4230"
"1.08","4232"
"1.21","4232"
"1.15","4233"
"0.78","4234"
"0.96","4234"
"1.06","4234"
"1.04","4240"
"0.7","4240"
"0.61","4241"
"0.84","4243"
"1.26","4255"
"1.17","4259"
"0.83","4271"
"0.74","4274"
"0.65","4275"
"1.1","4275"
"1.01","4276"
"0.9","4276"
"1.08","4276"
"1.15","4276"
"1.13","4277"
"1.29","4277"
"1.04","4277"
"0.35","580"
"0.38","581"
"0.43","581"
"0.97","4278"
"1.24","4278"
"0.93","4279"
"0.61","4279"
"1.02","4281"
"0.98","4281"
"1.06","4281"
"0.81","4284"
"1.5","4284"
"0.72","4285"
"0.85","4293"
"0.56","4293"
"1.18","4294"
"1.21","4301"
"0.77","4304"
"1.17","4307"
"0.66","4311"
"1.45","4320"
"0.7","4323"
"0.68","4325"
"1.04","4326"
"1.01","4326"
"0.93","4326"
"1.16","4326"
"0.82","4327"
"0.9","4328"
"1.15","4328"
"1.5","4328"
"1.21","4329"
"1.06","4331"
"1.25","4331"
"1.08","4333"
"0.97","4333"
"0.88","4334"
"0.78","4336"
"0.74","4336"
"0.73","4339"
"1.02","4341"
"0.7","4341"
"1.52","4345"
"1.13","4348"
"1.1","4349"
"1.34","4352"
"1.18","4353"
"1.27","4353"
"0.8","4362"
"0.85","4363"
"0.94","4366"
"1.3","4368"
"0.51","4368"
"1.32","4373"
"1.04","4375"
"1.01","4375"
"1.25","4375"
"1.02","4375"
"0.93","4375"
"1.13","4377"
"0.77","4377"
"1.21","4377"
"0.83","4378"
"0.9","4379"
"0.71","4380"
"1.1","4383"
"0.74","4383"
"1.44","4387"
"0.81","4388"
"0.97","4388"
"1.08","4391"
"1.17","4395"
"1.06","4398"
"1.15","4399"
"0.5","584"
"1.51","4404"
"0.7","4407"
"0.86","4420"
"1.35","4423"
"1.04","4426"
"1.01","4426"
"0.96","4426"
"1.24","4426"
"1.06","4427"
"0.9","4427"
"1.28","4428"
"1.13","4428"
"0.93","4429"
"1.08","4434"
"1.1","4435"
"1.02","4435"
"1.21","4435"
"1.15","4437"
"0.7","4439"
"0.56","4440"
"0.85","4443"
"0.8","4444"
"0.71","4447"
"1.17","4455"
"1.3","4455"
"1.58","4459"
"1.18","4460"
"0.98","4470"
"1.06","4475"
"1.01","4475"
"1.32","4475"
"0.93","4476"
"1.08","4476"
"1.21","4476"
"1.02","4476"
"1.17","4476"
"1.04","4477"
"1.23","4477"
"1.13","4478"
"0.98","4478"
"0.9","4479"
"0.97","4480"
"0.71","4482"
"1.15","4483"
"1.1","4484"
"0.94","4488"
"0.8","4490"
"1.54","4492"
"1.34","4502"
"0.76","4504"
"1.36","4509"
"1.28","4509"
"1.22","4509"
"0.83","4521"
"0.93","4527"
"1.01","4528"
"1.06","4529"
"0.97","4529"
"0.85","4530"
"1.04","4530"
"0.9","4531"
"1.02","4532"
"1.13","4532"
"1.21","4536"
"1.08","4536"
"1.1","4537"
"0.98","4542"
"1.28","4542"
"1.25","4543"
"0.73","4547"
"1.32","4548"
"0.94","4548"
"1.26","4551"
"0.87","4553"
"1.18","4553"
"1.15","4558"
"1.35","4560"
"1.16","4560"
"1.22","4562"
"0.79","4570"
"1.45","4570"
"0.94","4575"
"1.01","4575"
"1.13","4576"
"1.02","4578"
"1.06","4578"
"1.1","4578"
"0.9","4579"
"1.18","4579"
"1.04","4579"
"1.28","4580"
"1.2","4580"
"1.24","4583"
"1.07","4584"
"1.17","4586"
"1.26","4586"
"0.93","4586"
"1.14","4591"
"0.83","4592"
"0.76","4596"
"1.38","4598"
"1.51","4600"
"1.22","4612"
"0.8","4619"
"1.5","4620"
"0.98","4623"
"1.01","4626"
"1.35","4627"
"1.08","4627"
"0.9","4627"
"0.82","4628"
"0.97","4628"
"1.04","4629"
"0.94","4629"
"1.1","4629"
"1.06","4630"
"0.81","4630"
"1.21","4631"
"1.17","4631"
"0.56","4632"
"1.02","4633"
"1.33","4634"
"0.93","4635"
"1.28","4636"
"1.15","4637"
"1.18","4639"
"1.13","4641"
"0.7","4644"
"1.52","4648"
"1.24","4649"
"1.22","4652"
"0.75","4656"
"1.26","4656"
"0.86","4665"
"0.98","4665"
"1.21","4675"
"1.08","4675"
"1.02","4675"
"1.06","4675"
"1.01","4676"
"0.93","4676"
"1.22","4676"
"0.9","4677"
"1.74","4677"
"1.18","4678"
"1.04","4679"
"0.7","4679"
"1.28","4679"
"0.97","4682"
"1.1","4682"
"1.25","4687"
"1.13","4687"
"1.15","4688"
"1.33","4698"
"0.73","4702"
"1.17","4702"
"1.5","4704"
"1.26","4704"
"0.97","4726"
"1.01","4727"
"1.02","4727"
"1.25","4727"
"1.08","4728"
"0.93","4729"
"0.9","4729"
"1.06","4729"
"1.38","4730"
"1.04","4730"
"1.5","4731"
"1.3","4732"
"1.1","4733"
"1.22","4735"
"1.33","4737"
"1.15","4737"
"0.81","4740"
"1.21","4740"
"1.16","4742"
"1.26","4742"
"1.13","4744"
"1.18","4746"
"0.94","4748"
"1.01","4775"
"0.93","4775"
"1.15","4776"
"1.21","4777"
"1.1","4778"
"0.9","4778"
"1.13","4778"
"1.06","4778"
"1.29","4779"
"0.8","4781"
"1.04","4782"
"1.22","4782"
"1.25","4783"
"1.16","4785"
"1.08","4790"
"0.94","4790"
"1.02","4796"
"0.76","4798"
"0.63","4800"
"0.71","4802"
"0.97","4810"
"0.98","4826"
"1.17","4826"
"1.08","4826"
"1.39","4826"
"1.1","4827"
"1.01","4827"
"1.02","4827"
"1.04","4828"
"1.21","4828"
"1.06","4829"
"1.13","4829"
"1.22","4829"
"0.73","4830"
"1.15","4830"
"0.9","4833"
"0.93","4834"
"1.27","4836"
"1.18","4838"
"0.82","4844"
"0.96","4849"
"1.64","4849"
"0.89","4854"
"1.24","4854"
"0.79","4858"
"1.26","4860"
"1.31","4864"
"0.84","4869"
"1.25","4875"
"1.15","4875"
"1.02","4875"
"1.01","4875"
"1.13","4877"
"1.08","4877"
"1.1","4878"
"1.28","4878"
"1.06","4878"
"0.93","4879"
"1.21","4879"
"1.04","4879"
"1.33","4879"
"1.17","4880"
"0.9","4884"
"1.18","4885"
"0.75","4889"
"0.97","4892"
"0.8","4893"
"1.47","4898"
"0.87","4899"
"0.94","4902"
"0.78","4904"
"1.22","4914"
"0.59","4916"
"0.81","4926"
"1.21","4926"
"0.72","4927"
"1.15","4927"
"1.01","4928"
"1.04","4928"
"1.1","4928"
"1.29","4931"
"0.83","4931"
"0.9","4931"
"1.02","4932"
"1.13","4932"
"1.06","4932"
"1.08","4933"
"1.25","4937"
"1.5","4939"
"1.26","4939"
"0.93","4939"
"1.4","4939"
"0.97","4943"
"0.98","4950"
"0.7","4951"
"1.34","4953"
"1.18","4956"
"1.16","4958"
"1.32","4965"
"1.55","4965"
"1.22","4969"
"0.94","4972"
"1.35","4974"
"1.06","4975"
"1.01","4975"
"1.21","4976"
"0.9","4977"
"1.29","4977"
"0.92","4979"
"1.17","4979"
"1.15","4980"
"1.04","4980"
"1.54","4980"
"0.72","4981"
"1.1","4981"
"1.02","4983"
"1.13","4984"
"1.25","4986"
"1.18","4988"
"1.08","4989"
"1.5","4989"
"1.26","4989"
"0.83","4989"
"1.3","4994"
"0.8","5007"
"1.39","5021"
"1.01","5026"
"1.25","5026"
"0.7","5027"
"1.13","5027"
"1.32","5027"
"1.08","5027"
"1.06","5027"
"1.21","5028"
"0.92","5028"
"0.97","5028"
"1.54","5028"
"1.04","5029"
"1.22","5029"
"0.86","5029"
"1.17","5032"
"1.15","5033"
"1.1","5034"
"1.02","5038"
"1.26","5038"
"0.9","5040"
"1.5","5040"
"1.95","5045"
"1.3","5047"
"2","5051"
"0.72","5051"
"0.88","5052"
"0.65","5052"
"0.76","5056"
"1.37","5063"
"1.29","5065"
"1.34","5065"
"1.44","5068"
"1.51","5074"
"1.04","5076"
"1.02","5077"
"1.08","5077"
"1.01","5077"
"1.17","5078"
"0.93","5078"
"1.26","5080"
"1.21","5080"
"0.9","5080"
"1.1","5082"
"1.83","5083"
"1.25","5083"
"1.13","5086"
"0.72","5086"
"1.18","5088"
"1.06","5090"
"1.33","5094"
"1.15","5096"
"1.3","5096"
"1.22","5099"
"0.95","5101"
"1.36","5103"
"1.34","5106"
"1.5","5107"
"0.87","5112"
"1.27","5121"
"1.01","5126"
"0.93","5126"
"1.06","5127"
"1.13","5127"
"1.1","5127"
"1.25","5128"
"1.04","5129"
"1.02","5131"
"1.15","5135"
"0.9","5135"
"1.21","5136"
"1.17","5136"
"1.08","5138"
"1.33","5139"
"1.3","5140"
"1.5","5141"
"0.83","5151"
"1.26","5151"
"1.29","5154"
"1.18","5154"
"0.73","5154"
"0.94","5155"
"1.37","5156"
"1.62","5157"
"1.22","5160"
"1.44","5161"
"1.57","5170"
"1.33","5176"
"0.92","5176"
"1.3","5176"
"1.08","5177"
"1.13","5178"
"1.04","5179"
"1.25","5181"
"1.18","5181"
"1.69","5182"
"1.01","5182"
"1.02","5183"
"1.21","5183"
"1.06","5183"
"1.15","5186"
"1.1","5186"
"1.22","5192"
"0.9","5195"
"2.06","5203"
"1.16","5206"
"1.26","5207"
"0.77","5207"
"1.5","5208"
"1.29","5209"
"1.36","5215"
"1.21","5226"
"1.1","5226"
"1.01","5226"
"1.22","5226"
"1.02","5226"
"0.9","5226"
"1.06","5228"
"1.15","5228"
"0.92","5228"
"1.04","5229"
"1.25","5231"
"1.13","5231"
"1.08","5232"
"1.29","5237"
"1.72","5240"
"1.3","5242"
"1.17","5242"
"1.34","5245"
"0.77","5251"
"1.33","5251"
"1.5","5268"
"0.95","5272"
"1.21","5275"
"1.06","5277"
"1.13","5277"
"1.01","5277"
"1.69","5277"
"1.25","5277"
"1.52","5277"
"1.02","5278"
"1.1","5278"
"0.9","5279"
"1.08","5280"
"1.33","5282"
"1.04","5284"
"1.37","5284"
"1.28","5285"
"0.75","5288"
"1.15","5291"
"1.5","5292"
"1.26","5292"
"1.22","5296"
"1.16","5301"
"0.91","5302"
"1.66","5310"
"1.18","5315"
"1.14","5326"
"1.08","5327"
"1.33","5327"
"1.51","5327"
"1.06","5328"
"1.13","5329"
"1.22","5329"
"1.27","5330"
"1.01","5330"
"1.04","5330"
"0.9","5331"
"1.21","5331"
"1.25","5331"
"1.02","5335"
"1.34","5335"
"1.1","5335"
"0.7","5338"
"0.92","5342"
"1.5","5351"
"1.26","5363"
"1.17","5366"
"1.37","5370"
"0.81","5373"
"1.13","5375"
"1.08","5375"
"0.93","5375"
"1.01","5375"
"1.21","5376"
"1.1","5376"
"1.29","5376"
"1.04","5378"
"1.18","5378"
"1.25","5382"
"1.31","5382"
"1.15","5382"
"1.02","5383"
"0.9","5386"
"1.3","5387"
"1.17","5388"
"1.06","5393"
"1.22","5397"
"1.26","5398"
"2.14","5405"
"1.49","5407"
"1.5","5410"
"1.46","5421"
"0.81","5423"
"1.02","5426"
"1.24","5427"
"1.29","5428"
"1.13","5428"
"1.09","5428"
"1.33","5429"
"1.21","5430"
"2.15","5430"
"1.01","5430"
"0.92","5430"
"1.22","5431"
"1.06","5433"
"1.15","5433"
"1.26","5434"
"1.08","5436"
"1.3","5438"
"0.9","5438"
"1.04","5445"
"1.37","5449"
"1.18","5451"
"1.16","5454"
"1.5","5460"
"1.01","5475"
"0.9","5476"
"1.21","5476"
"1.04","5476"
"1.1","5476"
"1.18","5477"
"1.06","5480"
"1.16","5480"
"1.32","5480"
"1.13","5481"
"1.02","5484"
"0.92","5484"
"1.25","5486"
"1.15","5487"
"1.38","5487"
"1.08","5487"
"1.3","5488"
"1.22","5502"
"1.46","5504"
"1.26","5504"
"1.5","5510"
"1.27","5518"
"1.35","5524"
"1.15","5526"
"1.04","5526"
"1.13","5526"
"1.01","5527"
"1.1","5527"
"1.21","5529"
"1.29","5530"
"0.91","5530"
"1.08","5532"
"1.52","5533"
"1.22","5534"
"1.06","5535"
"0.9","5535"
"1.5","5536"
"1.17","5537"
"0.7","5539"
"1.32","5544"
"1.35","5546"
"0.96","5548"
"1.02","5549"
"1.24","5550"
"1.18","5551"
"1.96","5554"
"1.3","5569"
"1.08","5575"
"1.13","5576"
"1.17","5576"
"1.01","5576"
"1.04","5577"
"1.06","5577"
"1.21","5578"
"1.37","5579"
"1.02","5581"
"1.33","5582"
"1.1","5583"
"1.25","5583"
"1.22","5586"
"1.15","5587"
"1.29","5588"
"1.5","5593"
"0.88","5595"
"0.93","5597"
"1.52","5601"
"2.22","5607"
"1.7","5617"
"1.18","5617"
"1.64","5624"
"1.15","5626"
"1.04","5626"
"1.06","5627"
"1.01","5627"
"1.25","5628"
"1.1","5628"
"1.13","5630"
"1.53","5631"
"1.26","5631"
"1.21","5634"
"0.9","5640"
"0.87","5640"
"1.38","5641"
"1.22","5643"
"1.5","5645"
